  ,,,,,,,,,,,,,,,,
 , PROLOD, Sieve, Flemming?s Tool, SWIQA, Syntax Validators, Skosify, OOPS!, PoolParty, ASKOSI, Pellet, Eyeball, RDF:Alerts, TripleCheckmate, DING, DSNotify, SPARQL Endpoints-Status
,,,,,,,,,,,,,,,,
QI.1, ,  X, ,  X, , , , , , , , ,  X, , , 
QI.2, , ,  X, , , , ,  X,  X, , , , , , , 
QI.3, , ,  X, , , , ,  X, , , , , , , , 
QI.4, ,  X, ,  X, , , , , , , , ,  X, , , 
QI.5, , ,  X, , , , , , , , , , , , , 
QI.6, , ,  X, , , , , , , , , , ,  X, , 
QI.7, , ,  X, , , , , , , , , , , , , 
QI.8,  X, ,  X, , , , , , , , , , , , , 
QI.9, , ,  X, , , , , , , , , , , , , 
QI.10, , ,  X,  X,  X, , , , , , ,  X, , , , 
QI.11, , , , , , , , , , , , , ,  X, ,  X
QI.12,  X, ,  X, , , , , , , , , , ,  X, , 
QI.13,  X, ,  X,  X, , , ,  X, , , ,  X, , ,  X, 
QI.14, , , , , , , , , , , , , , ,  X,  X
QI.15, ,  X, ,  X, , , , , , , , , , , , 
QI.16, , , , , , , ,  X, , , , , , , , 
QI.17, , , , , ,  X, ,  X, , , , , , , , 
QI.18, , , , , ,  X, ,  X, , , , , , , , 
QI.19, , ,  X, , , , , , , , , , , , , 
QI.20, , ,  X, , , , , , , , , , , , , 
QI.21, , ,  X, , , , , , , , , , , , ,  X
QI.22,  X, , , , ,  X, ,  X,  X, , , ,  X, , , 
QI.23, , , , , , ,  X, , ,  X,  X,  X,  X, , , 
QI.24, , , , , ,  X, ,  X, , , , , , , , 
QI.25, , , , , , , ,  X,  X, , , , , , , 
QI.26, , , , , , , , , , , , , , , , 
QI.27, ,  X, , , , , , , , ,  X,  X, , ,  X, 
QI.28, , , , , ,  X, ,  X, , , , , , , , 
QI.29, , , , , , ,  X,  X,  X, ,  X, , , , , 
QI.30, ,  X, ,  X, , ,  X, ,  X, , , , , , , 
QI.31, , , , , , , , , , , , , , , , 
QI.32, ,  X, ,  X, , , , , , , , , , , , 
QI.33, , , , , , , ,  X, , , ,  X, , , , 
QI.34, , , , , , , , , , , , , , , , 
QI.35, , , , , , , , , , , , , , , , 
QI.36, , , , , , , , , , , , , , , , 
QI.37, ,  X, ,  X, , , , , , , , , , , , 
QI.38, , ,  X, , , , , , , , , , , , , 
QI.39, , ,  X, , , , , , , , , , , , , 
QI.40, , ,  X, , , , , , , , , , , , , 
QI.41, , ,  X, , , , , , , , , , , , , 
QI.42, , ,  X, , , , , , , , , , , , , 
QI.43, , ,  X, , , , , , , , , , , , , 
QI.44, , ,  X, , , , , , , , , , , , , 
QI.45, , ,  X, , , , , , , , , , , , , 
QI.46, , , , , ,  X, ,  X,  X, , , , , , , 
QI.47, , , , , , ,  X,  X, , ,  X, , , , , 
QI.48, , , , , ,  X,  X,  X, , ,  X, , , , , 
QI.49, , , , , ,  X, , , , ,  X, , , , , 
QI.50, , , , , , , , ,  X, , , , , , , 
QI.51, ,  X, , , , , , , ,  X,  X, ,  X, , , 
QI.52, , , , , , , , , , ,  X, , , , , 
QI.53, , , , , , ,  X, , ,  X, , , , , , 
QI.54, , , , , , , , , ,  X, , , , , , 
QI.55, , , , , , , , , ,  X, , , , , , 
QI.56, , ,  X, , ,  X,  X,  X, ,  X,  X,  X, , , , 
QI.57, , , , , , ,  X,  X, , ,  X,  X, , , , 
QI.58, , , , , , ,  X, , ,  X,  X, , , , , 
QI.59, , , , , , , ,  X, , , , , , , , 
QI.60, , , , , , , , , , , , , , , , 
QI.61, , ,  X, , , ,  X, , ,  X, ,  X, , , , 
QI.62, , , , , ,  X,  X,  X,  X, , , , , , , 
QI.63, , ,  X, , , ,  X,  X, ,  X,  X, , , , , 
QI.64, , , , , ,  X,  X,  X, , , , , , , , 
QI.65, , ,  X, , , ,  X, , ,  X,  X, , , , , 
QI.66, , , , , , , ,  X, , , , , , , , 
QI.67, , , , , , ,  X,  X, ,  X,  X,  X, , , , 
QI.68, , ,  X, , , , , , , , , , , , , 
QI.69, , , , , , , , , , , , , , , ,  X
QI.70, , ,  X, , , , , , , , , , , , ,  X
QI.71, , , , , , , , , , , , , , , ,  X
QI.72, , , , , , , , , , , , ,  X, , , 
QI.73, , , , , , , , , , , , ,  X, , , 
QI.74, , , , , , , , , , , , , , , , 
QI.75, , ,  X, , , , , , , , , , , , , 
QI.76, , , , , , , , , , , , , , , , 
QI.77, , ,  X, , , , , , , , , , , , , 
QI.78, , ,  X, , , , , , , , , , , , , 
QI.79, , , , , , , , , , , , , , , , 
